"Date","Open","High","Low","Close","Adj Close","Volume"
"2010-03-12",8.120357,8.133214,8.0625,8.092857,6.938533,416323600
"2010-03-15",8.049286,8.053571,7.866071,7.994286,6.854021,493502800
"2010-03-16",8.006429,8.035,7.946786,8.016071,6.872699,446908000
"2010-03-17",8.032143,8.0875,7.973929,8.004286,6.862596,450956800
"2010-03-18",8.003571,8.035714,7.950357,8.023214,6.878823,342109600
"2010-03-19",8.028214,8.044286,7.901071,7.9375,6.805336,559445600
"2010-03-22",7.873929,8.071429,7.8625,8.026786,6.881886,456419600
"2010-03-23",8.058571,8.170714,8.003571,8.155714,6.992426,602431200
"2010-03-24",8.13,8.221429,8.125357,8.191786,7.023351,597780400
"2010-03-25",8.247143,8.248929,8.080357,8.094643,6.940064,542284400
"2010-03-26",8.176786,8.283929,8.1625,8.246429,7.0702,640875200
"2010-03-29",8.321429,8.3525,8.272143,8.299643,7.115823,540744400
"2010-03-30",8.45,8.481429,8.366071,8.423214,7.221768,527310000
"2010-03-31",8.410357,8.450357,8.373571,8.392857,7.195742,430659600
"2010-04-01",8.478929,8.526071,8.3125,8.4275,7.225445,603145200
"2010-04-05",8.392143,8.518214,8.384643,8.5175,7.302605,684507600
"2010-04-06",8.507143,8.58,8.464286,8.555,7.33476,447017200
"2010-04-07",8.555357,8.64,8.523571,8.592857,7.367217,628502000
"2010-04-08",8.587143,8.626429,8.501429,8.569643,7.347311,572989200
"2010-04-09",8.6225,8.638929,8.587857,8.635357,7.403657,334182800
"2010-04-12",8.65,8.681071,8.636071,8.653214,7.418966,333026400
"2010-04-13",8.637857,8.671429,8.611071,8.658214,7.423251,306210800
"2010-04-14",8.76,8.778929,8.716786,8.774643,7.523072,404076400
"2010-04-15",8.777857,8.893929,8.768214,8.89,7.621977,376784800
"2010-04-16",8.8775,8.969286,8.733929,8.835714,7.575433,750545600
"2010-04-19",8.8225,8.853214,8.634643,8.823929,7.565329,566924400
"2010-04-20",8.876429,8.901786,8.677143,8.735357,7.48939,738326400
"2010-04-21",9.242857,9.294643,9.133214,9.257857,7.937365,982391200
"2010-04-22",9.222857,9.526786,9.15,9.516786,8.159359,793424800
"2010-04-23",9.571071,9.720714,9.535714,9.6725,8.292865,796955600
"2010-04-26",9.71,9.730714,9.578214,9.625,8.252141,479068800
"2010-04-27",9.545357,9.565714,9.304286,9.358571,8.023711,709343600
"2010-04-28",9.401786,9.428571,9.1575,9.342857,8.010238,758402400
"2010-04-29",9.393571,9.642857,9.3575,9.594286,8.225807,558840800
"2010-04-30",9.618214,9.663214,9.321429,9.324643,7.994622,542463600
"2010-05-03",9.422857,9.567143,9.388571,9.5125,8.155684,454342000
"2010-05-04",9.388929,9.403214,9.169643,9.238571,7.92083,723819600
"2010-05-05",9.036786,9.219286,8.883214,9.1425,7.83846,883103200
"2010-05-06",9.065357,9.223214,7.116071,8.794643,7.54022,1285860800
"2010-05-07",8.703929,8.806071,8.043214,8.423571,7.222076,1676018400
"2010-05-10",8.9375,9.094643,8.876071,9.071071,7.777222,984306400
"2010-05-11",8.994286,9.281786,8.946429,9.161429,7.854689,848906800
"2010-05-12",9.258571,9.3975,9.239286,9.360357,8.025244,654379600
"2010-05-13",9.400714,9.464286,9.157143,9.227143,7.91103,599712400
"2010-05-14",9.112857,9.16,8.910714,9.065,7.772016,759362800
"2010-05-17",9.096429,9.149286,8.846786,9.079286,7.784264,762834800
"2010-05-18",9.177857,9.233929,8.937857,9.012857,7.727309,782678400
"2010-05-19",8.910714,9.032857,8.744643,8.869286,7.604215,1025726800
"2010-05-20",8.638571,8.708929,8.436071,8.491429,7.280255,1282915200
"2010-05-21",8.315,8.732143,8.2625,8.654286,7.419883,1223891200
"2010-05-24",8.831429,8.960714,8.795,8.812857,7.555838,754238800
"2010-05-25",8.548214,8.812857,8.47,8.757857,7.508681,1048006400
"2010-05-26",8.931429,9.004643,8.705357,8.718214,7.474692,850654000
